date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:39	86458/86458	---MCZ	200	added ('OK')	text/html	etag:W/%22151ba-d21Xx2HIcvWnspmTbX9WNFQoabw%22	https://footballpeek.com/serie-a/2020-2021/3	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/3.html	(from https://footballpeek.com/serie-a/2020-2021/2)
12:35:40	85766/85766	---MCZ	200	added ('OK')	text/html	etag:W/%2214f06-AzqzspV7LbcggXObbsom264y1Vc%22	https://footballpeek.com/serie-a/2020-2021/5	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/5.html	(from https://footballpeek.com/serie-a/2020-2021/4)
12:35:41	84042/84042	---MCZ	200	added ('OK')	text/html	etag:W/%221484a-S+ZwugSmTHMYV6d4HGvBJCWODlE%22	https://footballpeek.com/bundesliga/2020-2021/1	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/1.html	(from https://footballpeek.com/bundesliga/2020-2021/2)
12:35:42	84158/84158	---MCZ	200	added ('OK')	text/html	etag:W/%22148be-u/Fz/bkzLkZ9C9Yu0gQDadpbdh0%22	https://footballpeek.com/bundesliga/2020-2021/3	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/3.html	(from https://footballpeek.com/bundesliga/2020-2021/2)
12:35:43	84432/84432	---MCZ	200	added ('OK')	text/html	etag:W/%22149d0-j/3y1/v7//nFAIR/9IZiksGSWZc%22	https://footballpeek.com/bundesliga/2020-2021/5	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/5.html	(from https://footballpeek.com/bundesliga/2020-2021/4)
12:35:44	87910/87910	---MCZ	200	added ('OK')	text/html	etag:W/%2215766-72vRmYiN5HVx8cQ3R+BlZ5sL7F4%22	https://footballpeek.com/premier-league/2020-2021/1	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/1.html	(from https://footballpeek.com/premier-league/2020-2021/2)
12:35:45	87572/87572	---MCZ	200	added ('OK')	text/html	etag:W/%2215614-J1ROcuFnXugo5wFa1O7s3+6k3Y4%22	https://footballpeek.com/premier-league/2020-2021/7	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/7.html	(from https://footballpeek.com/premier-league/2020-2021/6)
12:35:46	85945/85945	---MCZ	200	added ('OK')	text/html	etag:W/%2214fb9-5kIIIIkSkQS4ycDx2BDzBLiUosY%22	https://footballpeek.com/liga/2020-2021/2	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/2.html	(from https://footballpeek.com/liga/2020-2021/3)
12:35:47	85487/85487	---MCZ	200	added ('OK')	text/html	etag:W/%2214def-WMgH9ZZnx97hNuO4h5C4yCwTEt8%22	https://footballpeek.com/liga/2020-2021/8	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/8.html	(from https://footballpeek.com/liga/2020-2021/7)
12:35:48	86943/86943	---MCZ	200	added ('OK')	text/html	etag:W/%221539f-pCOU0XiqrrZdKcBrUW4kILPCuA0%22	https://footballpeek.com/ligue-1/2020-2021/3	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/3.html	(from https://footballpeek.com/ligue-1/2020-2021/4)
12:35:49	86486/86486	---MCZ	200	added ('OK')	text/html	etag:W/%22151d6-A1NAUzxv+c9Jp5bXVkkWx4A/RGU%22	https://footballpeek.com/ligue-1/2020-2021/9	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/9.html	(from https://footballpeek.com/ligue-1/2020-2021/8)
12:35:50	85766/85766	---MCZ	200	added ('OK')	text/html	etag:W/%2214f06-qyCSxrd+QBR5efSYAtlB5g4tcGc%22	https://footballpeek.com/serie-a/2020-2021/6	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/6.html	(from https://footballpeek.com/serie-a/2020-2021/5)
12:35:51	84432/84432	---MCZ	200	added ('OK')	text/html	etag:W/%22149d0-aSsMbO2O+0zRgdJ4QuJo6ERF+qU%22	https://footballpeek.com/bundesliga/2020-2021/6	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/6.html	(from https://footballpeek.com/bundesliga/2020-2021/5)
12:35:52	87572/87572	---MCZ	200	added ('OK')	text/html	etag:W/%2215614-8iiCz2xR9IVHaIcCzOuuKaoz80s%22	https://footballpeek.com/premier-league/2020-2021/8	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/8.html	(from https://footballpeek.com/premier-league/2020-2021/7)
12:35:53	85835/85835	---MCZ	200	added ('OK')	text/html	etag:W/%2214f4b-xY8wtOu51zjRQYnEHmdXp4MYd84%22	https://footballpeek.com/liga/2020-2021/1	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/1.html	(from https://footballpeek.com/liga/2020-2021/2)
12:35:54	85488/85488	---MCZ	200	added ('OK')	text/html	etag:W/%2214df0-utry4yRyoyilXNEK6TS1XVAECTo%22	https://footballpeek.com/liga/2020-2021/9	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/9.html	(from https://footballpeek.com/liga/2020-2021/8)
12:35:55	87172/87172	---MCZ	200	added ('OK')	text/html	etag:W/%2215484-WZKgMIVesonnFfLZK2wSswvnTtk%22	https://footballpeek.com/ligue-1/2020-2021/2	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/2.html	(from https://footballpeek.com/ligue-1/2020-2021/3)
12:35:56	86486/86486	---MCZ	200	added ('OK')	text/html	etag:W/%22151d6-LK9V9gPnpQ/9s0sZawbrhQjvQdc%22	https://footballpeek.com/ligue-1/2020-2021/10	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/10.html	(from https://footballpeek.com/ligue-1/2020-2021/9)
12:35:57	85766/85766	---MCZ	200	added ('OK')	text/html	etag:W/%2214f06-MSYycjMtMP3r8xqFAUlhQPhUaK0%22	https://footballpeek.com/serie-a/2020-2021/7	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/7.html	(from https://footballpeek.com/serie-a/2020-2021/6)
12:35:58	84203/84203	---MCZ	200	added ('OK')	text/html	etag:W/%22148eb-XmGUQ53vud/KwOv7w85sXEqUuRU%22	https://footballpeek.com/bundesliga/2020-2021/7	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/7.html	(from https://footballpeek.com/bundesliga/2020-2021/6)
12:35:59	87573/87573	---MCZ	200	added ('OK')	text/html	etag:W/%2215615-s9EviCslA+wCgtgKvzAlnebcfrw%22	https://footballpeek.com/premier-league/2020-2021/9	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/9.html	(from https://footballpeek.com/premier-league/2020-2021/8)
12:36:00	85488/85488	---MCZ	200	added ('OK')	text/html	etag:W/%2214df0-qEM9+B306WHgzNB5Y0AVx6gS3rA%22	https://footballpeek.com/liga/2020-2021/10	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/10.html	(from https://footballpeek.com/liga/2020-2021/9)
12:36:01	87532/87532	---MCZ	200	added ('OK')	text/html	etag:W/%22155ec-RGwQVj+TaYSR1A3mw0mkxLY+ZFg%22	https://footballpeek.com/ligue-1/2020-2021/1	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/1.html	(from https://footballpeek.com/ligue-1/2020-2021/2)
12:36:02	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-RHc2n1usjFhiTRGzUgz6tiW9lsQ%22	https://footballpeek.com/ligue-1/2020-2021/11	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/11.html	(from https://footballpeek.com/ligue-1/2020-2021/10)
12:36:03	85766/85766	---MCZ	200	added ('OK')	text/html	etag:W/%2214f06-jX5rj5VbONaOA5fzmAqd3a4q2/E%22	https://footballpeek.com/serie-a/2020-2021/8	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/8.html	(from https://footballpeek.com/serie-a/2020-2021/7)
12:36:04	83974/83974	---MCZ	200	added ('OK')	text/html	etag:W/%2214806-Pa5rgQSpkITA3e+xY7sHJX/JVgo%22	https://footballpeek.com/bundesliga/2020-2021/8	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/8.html	(from https://footballpeek.com/bundesliga/2020-2021/7)
12:36:05	87573/87573	---MCZ	200	added ('OK')	text/html	etag:W/%2215615-2I6Y1ed5i8q6JSU3guWJOdhjM5k%22	https://footballpeek.com/premier-league/2020-2021/10	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/10.html	(from https://footballpeek.com/premier-league/2020-2021/9)
12:36:06	85489/85489	---MCZ	200	added ('OK')	text/html	etag:W/%2214df1-Pu2DADUflPqmYyab6IiaOi0LQjs%22	https://footballpeek.com/liga/2020-2021/11	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/11.html	(from https://footballpeek.com/liga/2020-2021/10)
12:36:07	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-rVOGSUS/V9dAFkC5xyZVwvyLYok%22	https://footballpeek.com/ligue-1/2020-2021/12	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/12.html	(from https://footballpeek.com/ligue-1/2020-2021/11)
12:36:08	85767/85767	---MCZ	200	added ('OK')	text/html	etag:W/%2214f07-TIJQncXXaG0hViL2z2gN0A02xpY%22	https://footballpeek.com/serie-a/2020-2021/9	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/9.html	(from https://footballpeek.com/serie-a/2020-2021/8)
